window,indicator,ic,win
21,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
22,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
23,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
24,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
1,sma_50,-0.0018176010502004884,0.5118565863620892
2,sma_50,-0.0018176010502004884,0.5118565863620892
3,sma_50,-0.0018176010502004884,0.5118565863620892
4,sma_50,-0.0018176010502004884,0.5118565863620892
5,sma_50,-0.0018176010502004884,0.5118565863620892
6,sma_50,-0.0018176010502004884,0.5118565863620892
7,sma_50,-0.0018176010502004884,0.5118565863620892
8,sma_50,-0.0018176010502004884,0.5118565863620892
9,sma_50,-0.0018176010502004884,0.5118565863620892
10,sma_50,-0.0018176010502004884,0.5118565863620892
11,sma_50,-0.0018176010502004884,0.5118565863620892
12,sma_50,-0.0018176010502004884,0.5118565863620892
13,sma_50,-0.0018176010502004884,0.5118565863620892
14,sma_50,-0.0018176010502004884,0.5118565863620892
15,sma_50,-0.0018176010502004884,0.5118565863620892
16,sma_50,-0.0018176010502004884,0.5118565863620892
17,sma_50,-0.0018176010502004884,0.5118565863620892
18,sma_50,-0.0018176010502004884,0.5118565863620892
19,sma_50,-0.0018176010502004884,0.5118565863620892
20,sma_50,-0.0018176010502004884,0.5118565863620892
21,sma_50,-0.0018176010502004884,0.5118565863620892
22,sma_50,-0.0018176010502004884,0.5118565863620892
23,sma_50,-0.0018176010502004884,0.5118565863620892
24,sma_50,-0.0018176010502004884,0.5118565863620892
1,sma_200,-0.0021615411199824883,0.5118861967973831
2,sma_200,-0.0021615411199824883,0.5118861967973831
3,sma_200,-0.0021615411199824883,0.5118861967973831
4,sma_200,-0.0021615411199824883,0.5118861967973831
5,sma_200,-0.0021615411199824883,0.5118861967973831
6,sma_200,-0.0021615411199824883,0.5118861967973831
7,sma_200,-0.0021615411199824883,0.5118861967973831
8,sma_200,-0.0021615411199824883,0.5118861967973831
9,sma_200,-0.0021615411199824883,0.5118861967973831
10,sma_200,-0.0021615411199824883,0.5118861967973831
11,sma_200,-0.0021615411199824883,0.5118861967973831
12,sma_200,-0.0021615411199824883,0.5118861967973831
13,sma_200,-0.0021615411199824883,0.5118861967973831
14,sma_200,-0.0021615411199824883,0.5118861967973831
15,sma_200,-0.0021615411199824883,0.5118861967973831
16,sma_200,-0.0021615411199824883,0.5118861967973831
17,sma_200,-0.0021615411199824883,0.5118861967973831
18,sma_200,-0.0021615411199824883,0.5118861967973831
19,sma_200,-0.0021615411199824883,0.5118861967973831
20,sma_200,-0.0021615411199824883,0.5118861967973831
21,sma_200,-0.0021615411199824883,0.5118861967973831
22,sma_200,-0.0021615411199824883,0.5118861967973831
23,sma_200,-0.0021615411199824883,0.5118861967973831
24,sma_200,-0.0021615411199824883,0.5118861967973831
1,ema_20,-0.0023404956498841822,0.5118157795394489
2,ema_20,-0.0023404956498841822,0.5118157795394489
3,ema_20,-0.0023404956498841822,0.5118157795394489
4,ema_20,-0.0023404956498841822,0.5118157795394489
5,ema_20,-0.0023404956498841822,0.5118157795394489
6,ema_20,-0.0023404956498841822,0.5118157795394489
7,ema_20,-0.0023404956498841822,0.5118157795394489
8,ema_20,-0.0023404956498841822,0.5118157795394489
9,ema_20,-0.0023404956498841822,0.5118157795394489
10,ema_20,-0.0023404956498841822,0.5118157795394489
11,ema_20,-0.0023404956498841822,0.5118157795394489
12,ema_20,-0.0023404956498841822,0.5118157795394489
13,ema_20,-0.0023404956498841822,0.5118157795394489
14,ema_20,-0.0023404956498841822,0.5118157795394489
15,ema_20,-0.0023404956498841822,0.5118157795394489
16,ema_20,-0.0023404956498841822,0.5118157795394489
17,ema_20,-0.0023404956498841822,0.5118157795394489
18,ema_20,-0.0023404956498841822,0.5118157795394489
19,ema_20,-0.0023404956498841822,0.5118157795394489
20,ema_20,-0.0023404956498841822,0.5118157795394489
21,ema_20,-0.0023404956498841822,0.5118157795394489
22,ema_20,-0.0023404956498841822,0.5118157795394489
23,ema_20,-0.0023404956498841822,0.5118157795394489
24,ema_20,-0.0023404956498841822,0.5118157795394489
1,ema_50,-0.002176890962748151,0.5118157795394489
2,ema_50,-0.002176890962748151,0.5118157795394489
3,ema_50,-0.002176890962748151,0.5118157795394489
4,ema_50,-0.002176890962748151,0.5118157795394489
5,ema_50,-0.002176890962748151,0.5118157795394489
6,ema_50,-0.002176890962748151,0.5118157795394489
7,ema_50,-0.002176890962748151,0.5118157795394489
8,ema_50,-0.002176890962748151,0.5118157795394489
9,ema_50,-0.002176890962748151,0.5118157795394489
10,ema_50,-0.002176890962748151,0.5118157795394489
11,ema_50,-0.002176890962748151,0.5118157795394489
12,ema_50,-0.002176890962748151,0.5118157795394489
13,ema_50,-0.002176890962748151,0.5118157795394489
14,ema_50,-0.002176890962748151,0.5118157795394489
15,ema_50,-0.002176890962748151,0.5118157795394489
16,ema_50,-0.002176890962748151,0.5118157795394489
17,ema_50,-0.002176890962748151,0.5118157795394489
18,ema_50,-0.002176890962748151,0.5118157795394489
19,ema_50,-0.002176890962748151,0.5118157795394489
20,ema_50,-0.002176890962748151,0.5118157795394489
21,ema_50,-0.002176890962748151,0.5118157795394489
22,ema_50,-0.002176890962748151,0.5118157795394489
23,ema_50,-0.002176890962748151,0.5118157795394489
24,ema_50,-0.002176890962748151,0.5118157795394489
1,ema_200,-0.0022272607219087563,0.5118157795394489
2,ema_200,-0.0022272607219087563,0.5118157795394489
3,ema_200,-0.0022272607219087563,0.5118157795394489
4,ema_200,-0.0022272607219087563,0.5118157795394489
5,ema_200,-0.0022272607219087563,0.5118157795394489
6,ema_200,-0.0022272607219087563,0.5118157795394489
7,ema_200,-0.0022272607219087563,0.5118157795394489
8,ema_200,-0.0022272607219087563,0.5118157795394489
9,ema_200,-0.0022272607219087563,0.5118157795394489
10,ema_200,-0.0022272607219087563,0.5118157795394489
11,ema_200,-0.0022272607219087563,0.5118157795394489
12,ema_200,-0.0022272607219087563,0.5118157795394489
13,ema_200,-0.0022272607219087563,0.5118157795394489
14,ema_200,-0.0022272607219087563,0.5118157795394489
15,ema_200,-0.0022272607219087563,0.5118157795394489
16,ema_200,-0.0022272607219087563,0.5118157795394489
17,ema_200,-0.0022272607219087563,0.5118157795394489
18,ema_200,-0.0022272607219087563,0.5118157795394489
19,ema_200,-0.0022272607219087563,0.5118157795394489
20,ema_200,-0.0022272607219087563,0.5118157795394489
21,ema_200,-0.0022272607219087563,0.5118157795394489
22,ema_200,-0.0022272607219087563,0.5118157795394489
23,ema_200,-0.0022272607219087563,0.5118157795394489
24,ema_200,-0.0022272607219087563,0.5118157795394489
1,rsi_14,-0.015053602599509473,0.5117271594213846
2,rsi_14,-0.015053602599509473,0.5117271594213846
3,rsi_14,-0.015053602599509473,0.5117271594213846
4,rsi_14,-0.015053602599509473,0.5117271594213846
5,rsi_14,-0.015053602599509473,0.5117271594213846
6,rsi_14,-0.015053602599509473,0.5117271594213846
7,rsi_14,-0.015053602599509473,0.5117271594213846
8,rsi_14,-0.015053602599509473,0.5117271594213846
9,rsi_14,-0.015053602599509473,0.5117271594213846
10,rsi_14,-0.015053602599509473,0.5117271594213846
11,rsi_14,-0.015053602599509473,0.5117271594213846
12,rsi_14,-0.015053602599509473,0.5117271594213846
13,rsi_14,-0.015053602599509473,0.5117271594213846
14,rsi_14,-0.015053602599509473,0.5117271594213846
15,rsi_14,-0.015053602599509473,0.5117271594213846
16,rsi_14,-0.015053602599509473,0.5117271594213846
17,rsi_14,-0.015053602599509473,0.5117271594213846
18,rsi_14,-0.015053602599509473,0.5117271594213846
19,rsi_14,-0.015053602599509473,0.5117271594213846
20,rsi_14,-0.015053602599509473,0.5117271594213846
21,rsi_14,-0.015053602599509473,0.5117271594213846
22,rsi_14,-0.015053602599509473,0.5117271594213846
23,rsi_14,-0.015053602599509473,0.5117271594213846
24,rsi_14,-0.015053602599509473,0.5117271594213846
1,macd_12_26_9,-0.013802581737442277,0.49226123065307664
2,macd_12_26_9,-0.013802581737442277,0.49226123065307664
3,macd_12_26_9,-0.013802581737442277,0.49226123065307664
4,macd_12_26_9,-0.013802581737442277,0.49226123065307664
5,macd_12_26_9,-0.013802581737442277,0.49226123065307664
6,macd_12_26_9,-0.013802581737442277,0.49226123065307664
7,macd_12_26_9,-0.013802581737442277,0.49226123065307664
8,macd_12_26_9,-0.013802581737442277,0.49226123065307664
9,macd_12_26_9,-0.013802581737442277,0.49226123065307664
10,macd_12_26_9,-0.013802581737442277,0.49226123065307664
11,macd_12_26_9,-0.013802581737442277,0.49226123065307664
12,macd_12_26_9,-0.013802581737442277,0.49226123065307664
13,macd_12_26_9,-0.013802581737442277,0.49226123065307664
14,macd_12_26_9,-0.013802581737442277,0.49226123065307664
15,macd_12_26_9,-0.013802581737442277,0.49226123065307664
16,macd_12_26_9,-0.013802581737442277,0.49226123065307664
17,macd_12_26_9,-0.013802581737442277,0.49226123065307664
18,macd_12_26_9,-0.013802581737442277,0.49226123065307664
19,macd_12_26_9,-0.013802581737442277,0.49226123065307664
20,macd_12_26_9,-0.013802581737442277,0.49226123065307664
21,macd_12_26_9,-0.013802581737442277,0.49226123065307664
22,macd_12_26_9,-0.013802581737442277,0.49226123065307664
23,macd_12_26_9,-0.013802581737442277,0.49226123065307664
24,macd_12_26_9,-0.013802581737442277,0.49226123065307664
1,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
2,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
3,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
4,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
5,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
6,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
7,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
8,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
9,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
10,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
11,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
12,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
13,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
14,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
15,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
16,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
17,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
18,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
19,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
20,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
21,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
22,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
23,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
24,bollinger_bands_20_2,-0.001448299291711193,0.5117675947263043
1,obv,0.004081552603727463,0.5111362778406946
2,obv,0.004081552603727463,0.5111362778406946
3,obv,0.004081552603727463,0.5111362778406946
4,obv,0.004081552603727463,0.5111362778406946
5,obv,0.004081552603727463,0.5111362778406946
6,obv,0.004081552603727463,0.5111362778406946
7,obv,0.004081552603727463,0.5111362778406946
8,obv,0.004081552603727463,0.5111362778406946
