window,indicator,acc,r2,pearson,spearman,ic,win,weighted_win,sharpe
12,vwa_mean_reversion,0.5244800120795742,1.3460844714430209e-05,-0.0036689023855130264,0.006488418138462233,0.06335268151166486,0.23639109097772745,0.21648861877618814,1.7770446990116464
13,vwa_mean_reversion,0.5248574987731682,2.6955609511936096e-05,-0.005191879188885858,0.009166434804107093,0.06335268151166486,0.23639109097772745,0.21796081688120494,1.7770446990116464
14,vwa_mean_reversion,0.526140953531388,2.2499090969074764e-05,-0.0047433206689983555,0.007506105582099307,0.06335268151166486,0.23639109097772745,0.21705484881657922,1.7770446990116464
15,vwa_mean_reversion,0.5270846702653732,2.434701389686378e-05,-0.004934269337706028,0.0053686959206493984,0.06335268151166486,0.23639109097772745,0.2168661054697822,1.7770446990116464
16,vwa_mean_reversion,0.5246310067570118,8.162476621520476e-05,-0.00903464256157081,0.0017254245376267098,0.06335268151166486,0.23639109097772745,0.21603563474387527,1.7770446990116464
17,vwa_mean_reversion,0.5233098033294327,3.095397053332061e-05,-0.005563629259144316,0.0030405411885397367,0.06335268151166486,0.23639109097772745,0.21486542599373373,1.7770446990116464
18,vwa_mean_reversion,0.5262919482088256,6.44686189720245e-05,-0.008029235266950532,0.0004789406587764324,0.06335268151166486,0.23639109097772745,0.21497867200181195,1.7770446990116464
19,vwa_mean_reversion,0.5268959269185761,2.677749784818495e-05,-0.005174697850896239,0.0027751321909477867,0.06335268151166486,0.23639109097772745,0.21452568796949908,1.7770446990116464
20,vwa_mean_reversion,0.5286323657091088,3.336875847259613e-05,-0.005776569784273316,0.0032962252050871654,0.06335268151166486,0.23639109097772745,0.21573364538900003,1.7770446990116464
21,vwa_mean_reversion,0.5295760824430938,7.294448102868056e-05,-0.00854075412528855,-0.0014480243727199346,0.06335268151166486,0.23639109097772745,0.21407270393718622,1.7770446990116464
22,vwa_mean_reversion,0.5311237778868295,6.579808391404818e-05,-0.008111601809387078,-0.00471007839901056,0.06335268151166486,0.23639109097772745,0.21369521724359217,1.7770446990116464
23,vwa_mean_reversion,0.5315390132497829,5.5725659449445963e-05,-0.007464962119763957,-0.005231003425906466,0.06335268151166486,0.23639109097772745,0.21256275716281,1.7770446990116464
24,vwa_mean_reversion,0.532293986636971,1.7763810964188664e-05,-0.0042147136277900735,-0.0015663036503251906,0.06335268151166486,0.23639109097772745,0.21335547921935752,1.7770446990116464
1,volatility_breakout,0.5104375070778755,6.187318045325352e-05,-0.007865950702445185,-0.011146627663694196,-0.012628446620096616,0.5103812759531898,0.5103620097391567,1.2359353536599968
2,volatility_breakout,0.5129666679249556,3.777735067544974e-06,0.0019436396444470424,0.0025781547568898815,-0.012628446620096616,0.5103812759531898,0.5129289192555962,1.2359353536599968
3,volatility_breakout,0.5160243101430675,6.292505568716855e-06,0.0025084867089013607,0.0021199613210420975,-0.012628446620096616,0.5103812759531898,0.515986561473708,1.2359353536599968
4,volatility_breakout,0.5161753048205051,1.0473976654878925e-06,0.0010234244796544498,0.0028213125874261727,-0.012628446620096616,0.5103812759531898,0.5161375561511456,1.2359353536599968
5,volatility_breakout,0.5187422143369447,1.8130192290799485e-06,-0.001346484024768938,-0.005123926344238318,-0.012628446620096616,0.5103812759531898,0.5186667169982259,1.2359353536599968
6,volatility_breakout,0.5175342569174437,1.2731196907811437e-06,-0.0011283260569019786,-0.0037484938483882237,-0.012628446620096616,0.5103812759531898,0.5174965082480842,1.2359353536599968
7,volatility_breakout,0.5217998565550565,1.8232238742865725e-05,-0.004269922568753028,-0.007183950395848118,-0.012628446620096616,0.5103812759531898,0.5217243592163376,1.2359353536599968
8,volatility_breakout,0.5218753538937753,1.1065856747038971e-05,-0.003326538252734188,-0.005584960408542526,-0.012628446620096616,0.5103812759531898,0.5217998565550565,1.2359353536599968
9,volatility_breakout,0.5202521611113208,1.3091693787492531e-05,-0.0036182445726755915,-0.00404903238201646,-0.012628446620096616,0.5103812759531898,0.5202144124419614,1.2359353536599968
10,volatility_breakout,0.5229323166358386,9.824948348224893e-07,-0.0009912087745528502,-0.002949140886068015,-0.012628446620096616,0.5103812759531898,0.5228945679664792,1.2359353536599968
11,volatility_breakout,0.5231210599826356,1.3899880224599315e-07,0.0003728254317251691,0.0017844830520304961,-0.012628446620096616,0.5103812759531898,0.5230833113132762,1.2359353536599968
12,volatility_breakout,0.5244800120795742,2.985933284516129e-06,0.001727985325371584,0.003943360988238691,-0.012628446620096616,0.5103812759531898,0.5244422634102148,1.2359353536599968
13,volatility_breakout,0.5248574987731682,5.823348670264128e-05,0.007631086862472051,0.006733994783597765,-0.012628446620096616,0.5103812759531898,0.5248197501038089,1.2359353536599968
14,volatility_breakout,0.526140953531388,9.029805248883527e-05,0.0095025287417911,0.006077241390372661,-0.012628446620096616,0.5103812759531898,0.5261032048620287,1.2359353536599968
15,volatility_breakout,0.5270846702653732,2.1294900746537948e-05,0.00461463982846718,0.006870344969065795,-0.012628446620096616,0.5103812759531898,0.5270846702653732,1.2359353536599968
16,volatility_breakout,0.5246310067570118,7.822724545247794e-06,0.0027969133961285803,0.005578426961913405,-0.012628446620096616,0.5103812759531898,0.5245932580876524,1.2359353536599968
17,volatility_breakout,0.5233098033294327,2.1968845024256112e-05,-0.0046870934516057726,-0.00528584218901386,-0.012628446620096616,0.5103812759531898,0.5232720546600732,1.2359353536599968
18,volatility_breakout,0.5262919482088256,7.572755377549534e-05,-0.008702157995319707,-0.006349373635441957,-0.012628446620096616,0.5103812759531898,0.5262541995394663,1.2359353536599968
19,volatility_breakout,0.5268959269185761,6.88299073170473e-05,-0.008296379169074442,-0.00469271888225728,-0.012628446620096616,0.5103812759531898,0.5268581782492168,1.2359353536599968
20,volatility_breakout,0.5286323657091088,9.350294415710891e-05,-0.009669692040447271,-0.0046495413235635935,-0.012628446620096616,0.5103812759531898,0.5285946170397493,1.2359353536599968
21,volatility_breakout,0.5295760824430938,8.207415454819511e-05,-0.009059478712839304,-0.004631361298793931,-0.012628446620096616,0.5103812759531898,0.5295383337737345,1.2359353536599968
22,volatility_breakout,0.5311237778868295,9.366694654844299e-05,-0.009678168553419951,-0.00466090383898473,-0.012628446620096616,0.5103812759531898,0.5310860292174701,1.2359353536599968
23,volatility_breakout,0.5315390132497829,0.00011349196003440642,-0.01065326053535547,-0.005322202238350286,-0.012628446620096616,0.5103812759531898,0.5315012645804236,1.2359353536599968
24,volatility_breakout,0.532293986636971,0.00010725980103654109,-0.010356630776302458,-0.005501729982477742,-0.012628446620096616,0.5103812759531898,0.5322562379676117,1.2359353536599968
1,buy_volume_sentiment,0.5104375070778755,0.0,,,0.0,0.5104567761419404,0.5104375070778755,1.2434182237860383
2,buy_volume_sentiment,0.5129666679249556,0.0,,,0.0,0.5104567761419404,0.5129666679249556,1.2434182237860383
3,buy_volume_sentiment,0.5160243101430675,0.0,,,0.0,0.5104567761419404,0.5160243101430675,1.2434182237860383
4,buy_volume_sentiment,0.5161753048205051,0.0,,,0.0,0.5104567761419404,0.5161753048205051,1.2434182237860383
