window,indicator,acc,r2,pearson,spearman,ic,win,sharpe
17,spread_vwap_signal,0.5319542486127364,0.00017755018152709745,-0.013324795740534303,0.006262289899797157,-0.0011248506480603844,0.488637221593054,-0.3710900011361291
18,spread_vwap_signal,0.5328979653467215,0.00021354200993295436,-0.01461307667581297,0.0078014032501608575,-0.0011248506480603844,0.488637221593054,-0.3710900011361291
19,spread_vwap_signal,0.5344079121210977,0.00016363250452589018,-0.012791892140178557,0.008379889838426528,-0.0011248506480603844,0.488637221593054,-0.3710900011361291
20,spread_vwap_signal,0.5343701634517384,0.00015543135338214054,-0.012467211130887995,0.007842872822590283,-0.0011248506480603844,0.488637221593054,-0.3710900011361291
21,spread_vwap_signal,0.5338416820807067,0.00018764399023507572,-0.013698320708578147,0.005673413973894556,-0.0011248506480603844,0.488637221593054,-0.3710900011361291
22,spread_vwap_signal,0.5348231474840512,0.0001601138634124144,-0.012653610686780403,0.006564729912672351,-0.0011248506480603844,0.488637221593054,-0.3710900011361291
23,spread_vwap_signal,0.5328979653467215,0.00018692281093979357,-0.013671971728314407,0.004890014271368953,-0.0011248506480603844,0.488637221593054,-0.3710900011361291
24,spread_vwap_signal,0.5351628855082858,0.00012719393511451127,-0.01127802886654058,0.007821709281792561,-0.0011248506480603844,0.488637221593054,-0.3710900011361291
1,wick_reversal_signal,0.5060586614321845,0.00013009792340212822,-0.011406047667890728,-0.01116417940789474,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
2,wick_reversal_signal,0.5123626892152051,1.3282648514412188e-07,-0.00036445368037686535,0.003515734643049251,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
3,wick_reversal_signal,0.5174965082480842,8.098718978777342e-07,0.0008999288292444157,0.003274198057041244,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
4,wick_reversal_signal,0.5186289683288664,9.563911262944202e-07,0.0009779525174278274,0.0032293527659217817,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
5,wick_reversal_signal,0.5209316371597901,4.279624533753967e-06,0.0020687253403486087,0.007863732546557764,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
6,wick_reversal_signal,0.520176663772602,2.706200935231884e-06,0.0016450534748504919,0.003982788103984332,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
7,wick_reversal_signal,0.5204031557887584,2.5584172015813422e-05,0.0050580798743914395,0.008483042777557407,-0.012497587544190907,0.1502076255190638,-0.6029923192472655
