window,indicator,acc,r2,pearson,spearman,ic,win,sharpe
4,buy_volume_sentiment,0.5032275112302291,0.0,,,0.0,0.5033975084937712,0.771745157248776
5,buy_volume_sentiment,0.5012268317541807,0.0,,,0.0,0.5033975084937712,0.771745157248776
6,buy_volume_sentiment,0.5017175644558529,0.0,,,0.0,0.5033975084937712,0.771745157248776
7,buy_volume_sentiment,0.5036049979238232,0.0,,,0.0,0.5033975084937712,0.771745157248776
8,buy_volume_sentiment,0.5023592918349629,0.0,,,0.0,0.5033975084937712,0.771745157248776
9,buy_volume_sentiment,0.5043599713110113,0.0,,,0.0,0.5033975084937712,0.771745157248776
10,buy_volume_sentiment,0.5058699180853875,0.0,,,0.0,0.5033975084937712,0.771745157248776
11,buy_volume_sentiment,0.5056434260692311,0.0,,,0.0,0.5033975084937712,0.771745157248776
12,buy_volume_sentiment,0.5045109659884489,0.0,,,0.0,0.5033975084937712,0.771745157248776
13,buy_volume_sentiment,0.5059831640934657,0.0,,,0.0,0.5033975084937712,0.771745157248776
14,buy_volume_sentiment,0.5049639500207618,0.0,,,0.0,0.5033975084937712,0.771745157248776
15,buy_volume_sentiment,0.5042844739722925,0.0,,,0.0,0.5033975084937712,0.771745157248776
16,buy_volume_sentiment,0.5037937412706203,0.0,,,0.0,0.5033975084937712,0.771745157248776
17,buy_volume_sentiment,0.5022460458268846,0.0,,,0.0,0.5033975084937712,0.771745157248776
18,buy_volume_sentiment,0.5027367785285569,0.0,,,0.0,0.5033975084937712,0.771745157248776
19,buy_volume_sentiment,0.5029632705447133,0.0,,,0.0,0.5033975084937712,0.771745157248776
20,buy_volume_sentiment,0.5025857838511193,0.0,,,0.0,0.5033975084937712,0.771745157248776
21,buy_volume_sentiment,0.5020195538107282,0.0,,,0.0,0.5033975084937712,0.771745157248776
22,buy_volume_sentiment,0.5004718583669926,0.0,,,0.0,0.5033975084937712,0.771745157248776
23,buy_volume_sentiment,0.5010380884073836,0.0,,,0.0,0.5033975084937712,0.771745157248776
24,buy_volume_sentiment,0.5014533237703371,0.0,,,0.0,0.5033975084937712,0.771745157248776
1,interest_rate_carry,0.5034162545770262,9.303383303738144e-07,0.0009645404762292685,-0.006844695073759907,-0.00240250904628352,0.23386183465458663,-0.4888694142914396
2,interest_rate_carry,0.503680495262542,2.074066889901083e-06,0.0014401621055194584,-0.005306910440074702,-0.00240250904628352,0.23386183465458663,-0.4888694142914396
